slot,property,value,sample_type_count,sample_types,primary_or_modification
chem_administration,type,string,13,"field-deployed-terraform, other-undescribed, soil, water, aerosol, aerosol-arm, pure-culture, culture-environmental, mixed-culture, sediment, terraform, monet-soil, plant",primary
chem_mutagen,description,Treatment involving use of mutagens; should include the name of mutagen amount administered treatment regimen including how many times the treatment was repeated how long each treatment lasted and the start and end time of the entire treatment; can include multiple mutagen regimens,2,"other-undescribed, plant",primary
chem_mutagen,title,chemical mutagen,2,"other-undescribed, plant",primary
chem_mutagen,type,string,2,"other-undescribed, plant",primary
chem_oxygen_dem,description,a measure of the relative oxygen-depletion effect of a waste contaminant,1,other-undescribed,primary
chem_oxygen_dem,title,chemical oxygen deman,1,other-undescribed,primary
chem_oxygen_dem,type,string,1,other-undescribed,primary
chloride,description,Concentration of chloride in the sample,1,other-undescribed,modification
chloride,description,Concentration of chloride in the sample (Unit: mg/L or ppm),2,"water, sediment",primary
chloride,pattern,^\d+(\.\d+)?\s*(mg/L|ppm)$,2,"water, sediment",primary
chloride,title,chloride,2,"other-undescribed, water",primary
chloride,title,chloride concentration,1,sediment,modification
chloride,type,string,3,"other-undescribed, water, sediment",primary
chlorophyll,description,Concentration of chlorophyll,1,other-undescribed,modification
chlorophyll,description,Concentration of chlorophyll (Unit: mg/m3 or ug/L),2,"water, sediment",primary
chlorophyll,pattern,^\d+(\.\d+)?\s*(mg/m3|ug/L)$,2,"water, sediment",primary
chlorophyll,title,chlorophyll,2,"other-undescribed, water",primary
chlorophyll,title,chlorophyll concentration,1,sediment,modification
chlorophyll,type,string,3,"other-undescribed, water, sediment",primary
collection_date,description,The date of sampling as an instance. Format: YYYY-MM-DD. Also valid if entire collection date is unknown is just year (YYYY) or just year and month (YYYY-MM),14,"field-deployed-terraform, soil, water, aerosol, aerosol-arm, pure-culture, culture-environmental, commercially-purchased, sediment, terraform, synthesized-material, monet-soil, engineered-strain, plant",primary
collection_date,description,The date of sampling either as an instance (single point) or interval. For commercially purchased samples this will be the purchase date.,1,mixed-culture,modification
collection_date,description,The date of sampling either as an instance (single point) or interval. For commercially purchased samples this will be the purchase date. Format: YYYY-MM-DD. Also valid if entire collection date is unknown is just year (YYYY) or just year and month (YYYY-MM),1,other-undescribed,modification
collection_date,pattern,^[12]\d{3}(?:(?:-(?:0[1-9]|1[0-2]))(?:-(?:0[1-9]|[12]\d|3[01]))?)?$,16,"field-deployed-terraform, other-undescribed, soil, water, aerosol, aerosol-arm, pure-culture, culture-environmental, commercially-purchased, mixed-culture, sediment, terraform, synthesized-material, monet-soil, engineered-strain, plant",primary
collection_date,title,collection date,16,"field-deployed-terraform, other-undescribed, soil, water, aerosol, aerosol-arm, pure-culture, culture-environmental, commercially-purchased, mixed-culture, sediment, terraform, synthesized-material, monet-soil, engineered-strain, plant",primary
collection_date,type,string,16,"field-deployed-terraform, other-undescribed, soil, water, aerosol, aerosol-arm, pure-culture, culture-environmental, commercially-purchased, mixed-culture, sediment, terraform, synthesized-material, monet-soil, engineered-strain, plant",primary
collection_time,description,The time of sampling as an instance (single point). Required format: HH:MM:SS in 24-hour time format. Don't forget the second! (Unit: hh:mm:ss or HH:MM:SS),11,"field-deployed-terraform, soil, water, aerosol, aerosol-arm, pure-culture, culture-environmental, sediment, terraform, monet-soil, plant",primary
collection_time,description,The time of sampling either as an instance (single point) or interval. Time should be formatted as HH:MM:SS in 24-hour time format,2,"other-undescribed, mixed-culture",modification
collection_time,pattern,^(0[0-9]|1[0-9]|2[0-3]):([0-5][0-9]):([0-5][0-9])\s*(hh:mm:ss|HH:MM:SS)$,13,"field-deployed-terraform, other-undescribed, soil, water, aerosol, aerosol-arm, pure-culture, culture-environmental, mixed-culture, sediment, terraform, monet-soil, plant",primary
collection_time,title,collection time,13,"field-deployed-terraform, other-undescribed, soil, water, aerosol, aerosol-arm, pure-culture, culture-environmental, mixed-culture, sediment, terraform, monet-soil, plant",primary
collection_time,type,string,13,"field-deployed-terraform, other-undescribed, soil, water, aerosol, aerosol-arm, pure-culture, culture-environmental, mixed-culture, sediment, terraform, monet-soil, plant",primary
color_code,description,Color indicates the max altitude.,1,aerosol-arm,primary
color_code,enum,Red- 0-250m Profiling|Red Hashed- 0-250m Loitering|Yellow- 251-500m Profiling|Yellow Hashed- 251-500m Loitering|Green- 501-750m Profiling|Green Hashed- 501-750m Loitering|Blue- 751-1000m Profiling|Blue Hashed- 751-1000m Loitering|Purple- >=1001m Profiling|Purple Hashed- >=1001m Loitering,1,aerosol-arm,primary
color_code,title,color code,1,aerosol-arm,primary
color_code,type,string,1,aerosol-arm,primary
component_description,description,Provide a short statement describing the function of the construct component. You may provide an optional literature reference for lesser-known components.,1,engineered-strain,primary
component_description,title,construct component description,1,engineered-strain,primary
component_description,type,string,1,engineered-strain,primary
component_name,description,Provide a one-to-three word name based on the component. If using an acronym provide the full component name in the component description.,1,engineered-strain,primary
component_name,title,construct component name,1,engineered-strain,primary
component_name,type,string,1,engineered-strain,primary
compound_name,description,The name of the purchased material. A substance formed by chemical union of two or more elements or ingredients in definite proportion by weight.,3,"other-undescribed, commercially-purchased, synthesized-material",primary
compound_name,title,compound name,3,"other-undescribed, commercially-purchased, synthesized-material",primary
compound_name,type,string,3,"other-undescribed, commercially-purchased, synthesized-material",primary
conduc,description,Electrical conductivity of water,1,other-undescribed,primary
conduc,description,Electrical conductivity of water. Provide value and unit any unit is valid.,1,water,modification
conduc,pattern,^\d+(\.\d+)?\s*[\w\s/]+$,1,water,modification
conduc,title,conductivity,2,"other-undescribed, water",primary
conduc,type,string,2,"other-undescribed, water",primary
construct_component,description,Select the construct component type.,1,engineered-strain,primary
